id,url_id,user_id,event_type,timestamp,details
65,65,50,created,2026-01-22 12:17:19,"{""short_code"":""Rz2NRR"",""original_url"":""https://acme.dev/warm/trail/65""}"
66,66,130,created,2025-09-30 00:28:28,"{""short_code"":""Fuxb1t"",""original_url"":""https://hackstack.io/proud/meadow/66""}"
67,67,198,created,2025-02-02 19:22:30,"{""short_code"":""0Ms9NM"",""original_url"":""https://opswise.net/keen/uplink/67""}"
68,68,306,created,2025-10-08 21:17:59,"{""short_code"":""7oc3hU"",""original_url"":""https://acme.dev/urban/quartz/68""}"
69,69,135,created,2025-11-08 23:22:57,"{""short_code"":""Y1cM16"",""original_url"":""https://acme.dev/navy/pioneer/69""}"
70,70,387,created,2025-01-15 02:39:15,"{""short_code"":""UQiTRv"",""original_url"":""https://hackstack.io/amber/delta/70""}"
71,71,369,created,2025-09-25 20:46:32,"{""short_code"":""sDapMZ"",""original_url"":""https://relay.cloud/ivory/lagoon/71""}"
72,72,197,created,2026-02-06 12:58:17,"{""short_code"":""Ln1xo6"",""original_url"":""https://opswise.net/ivory/island/72""}"
73,73,195,created,2025-01-01 22:26:25,"{""short_code"":""EIgXRS"",""original_url"":""https://opswise.net/ivory/trail/73""}"
74,74,361,created,2025-09-28 21:41:53,"{""short_code"":""IcnSr4"",""original_url"":""https://opswise.net/young/garden/74""}"
75,75,359,created,2025-05-03 00:27:08,"{""short_code"":""Rr0qHH"",""original_url"":""https://example.com/urban/orbit/75""}"
76,76,345,created,2026-01-24 10:52:37,"{""short_code"":""chRdON"",""original_url"":""https://acme.dev/gold/engine/76""}"
77,77,329,created,2025-05-22 19:49:02,"{""short_code"":""PAAcZ9"",""original_url"":""https://acme.dev/clear/quartz/77""}"
78,78,157,created,2025-07-03 18:29:16,"{""short_code"":""p8pHWi"",""original_url"":""https://seeded.app/harbor/zenith/78""}"
79,79,264,created,2025-11-24 08:19:54,"{""short_code"":""y3Ck65"",""original_url"":""https://hackstack.io/harbor/canyon/79""}"
80,80,310,created,2025-06-13 13:50:32,"{""short_code"":""AEGpoj"",""original_url"":""https://opswise.net/harbor/delta/80""}"
81,81,37,created,2025-04-08 14:50:49,"{""short_code"":""svGA0h"",""original_url"":""https://relay.cloud/lively/anchor/81""}"
82,82,209,created,2025-05-23 06:59:22,"{""short_code"":""Py4CbY"",""original_url"":""https://relay.cloud/lively/journey/82""}"
83,83,54,created,2025-07-12 06:52:35,"{""short_code"":""GB3iKF"",""original_url"":""https://relay.cloud/ember/anchor/83""}"
84,84,98,created,2025-07-18 00:55:21,"{""short_code"":""94s0Mx"",""original_url"":""https://acme.dev/young/beacon/84""}"
85,85,206,created,2025-01-23 17:35:09,"{""short_code"":""ueUFWi"",""original_url"":""https://opswise.net/rapid/signal/85""}"
86,86,98,created,2025-12-10 17:49:27,"{""short_code"":""pOPgLR"",""original_url"":""https://acme.dev/rapid/uplink/86""}"
87,87,167,created,2025-10-25 05:26:17,"{""short_code"":""CdIbdC"",""original_url"":""https://opswise.net/ivory/signal/87""}"
88,88,372,created,2025-05-17 05:09:44,"{""short_code"":""Dz8ce6"",""original_url"":""https://seeded.app/warm/harvest/88""}"
89,89,86,created,2025-10-20 09:51:02,"{""short_code"":""fzxC8z"",""original_url"":""https://acme.dev/tidy/garden/89""}"
90,90,124,created,2025-02-25 17:07:38,"{""short_code"":""KFlDdF"",""original_url"":""https://hackstack.io/rapid/river/90""}"
91,91,165,created,2025-02-25 17:22:33,"{""short_code"":""6PPvbt"",""original_url"":""https://example.com/harbor/window/91""}"
92,92,97,created,2025-12-19 21:06:26,"{""short_code"":""TI1tX1"",""original_url"":""https://acme.dev/ivory/window/92""}"
93,93,307,created,2025-01-14 20:41:07,"{""short_code"":""Hj39KM"",""original_url"":""https://hackstack.io/dawn/meadow/93""}"
94,94,169,created,2025-03-14 19:52:24,"{""short_code"":""WGYJvR"",""original_url"":""https://acme.dev/ember/delta/94""}"
95,95,174,created,2025-03-23 10:01:59,"{""short_code"":""BNtxft"",""original_url"":""https://acme.dev/calm/network/95""}"
96,96,275,created,2025-05-30 20:39:44,"{""short_code"":""LBgbdg"",""original_url"":""https://seeded.app/vivid/signal/96""}"
97,97,77,created,2025-08-26 06:02:16,"{""short_code"":""Kkts3z"",""original_url"":""https://acme.dev/quiet/signal/97""}"
98,98,105,created,2025-09-01 06:01:49,"{""short_code"":""rHfWUI"",""original_url"":""https://hackstack.io/mellow/engine/98""}"
99,99,188,created,2026-01-04 18:31:21,"{""short_code"":""gQ6pcK"",""original_url"":""https://relay.cloud/quiet/uplink/99""}"
100,100,119,created,2025-12-24 21:02:19,"{""short_code"":""CM20hr"",""original_url"":""https://example.com/brisk/engine/100""}"
101,101,215,created,2025-09-20 15:57:55,"{""short_code"":""ZTWQbZ"",""original_url"":""https://relay.cloud/harbor/field/101""}"
102,102,46,created,2025-11-13 17:32:01,"{""short_code"":""G0eJ9Q"",""original_url"":""https://seeded.app/navy/harvest/102""}"
103,103,178,created,2025-03-19 17:06:06,"{""short_code"":""eFEska"",""original_url"":""https://hackstack.io/cobalt/river/103""}"
104,104,123,created,2025-08-12 22:25:37,"{""short_code"":""JIW5cu"",""original_url"":""https://opswise.net/young/lagoon/104""}"
105,105,221,created,2025-07-18 06:02:18,"{""short_code"":""bwSsBg"",""original_url"":""https://example.com/harbor/window/105""}"
106,106,271,created,2025-08-01 11:44:10,"{""short_code"":""BCLlue"",""original_url"":""https://example.com/keen/yard/106""}"
107,107,132,created,2025-07-03 20:29:38,"{""short_code"":""eK6QMg"",""original_url"":""https://hackstack.io/mellow/yard/107""}"
108,108,338,created,2025-05-14 04:26:03,"{""short_code"":""RXiNPL"",""original_url"":""https://hackstack.io/warm/pioneer/108""}"
109,109,49,created,2025-11-05 14:44:55,"{""short_code"":""8kAwr2"",""original_url"":""https://hackstack.io/rapid/valley/109""}"
110,110,54,created,2025-06-07 15:24:35,"{""short_code"":""xRJKuc"",""original_url"":""https://relay.cloud/forest/meadow/110""}"
111,111,136,created,2025-03-14 05:09:12,"{""short_code"":""8jchio"",""original_url"":""https://acme.dev/harbor/field/111""}"
112,112,341,created,2025-07-09 12:03:51,"{""short_code"":""K5PRq2"",""original_url"":""https://opswise.net/clear/river/112""}"
113,113,51,created,2025-09-05 03:09:52,"{""short_code"":""p4vI6z"",""original_url"":""https://relay.cloud/vivid/meadow/113""}"
114,114,271,created,2025-09-26 10:46:53,"{""short_code"":""9L0ZGR"",""original_url"":""https://relay.cloud/proud/island/114""}"
115,115,134,created,2025-07-10 02:44:19,"{""short_code"":""UJpoAC"",""original_url"":""https://relay.cloud/urban/garden/115""}"
116,116,298,created,2025-10-19 23:47:38,"{""short_code"":""2C7Ss3"",""original_url"":""https://relay.cloud/rapid/harvest/116""}"
117,117,255,created,2025-11-26 10:18:35,"{""short_code"":""6k8VFh"",""original_url"":""https://relay.cloud/ember/signal/117""}"
118,118,380,created,2025-10-11 02:36:11,"{""short_code"":""nNyvHb"",""original_url"":""https://hackstack.io/silver/field/118""}"
119,119,35,created,2025-03-04 19:40:05,"{""short_code"":""vgUZcp"",""original_url"":""https://example.com/keen/river/119""}"
120,120,74,created,2025-09-18 00:38:28,"{""short_code"":""Dn9U9P"",""original_url"":""https://opswise.net/quiet/delta/120""}"
121,121,28,created,2025-07-01 09:11:28,"{""short_code"":""JkhmgG"",""original_url"":""https://hackstack.io/mellow/pioneer/121""}"
122,122,237,created,2025-10-04 11:57:25,"{""short_code"":""XxmpL3"",""original_url"":""https://relay.cloud/tidy/yard/122""}"
123,123,44,created,2025-11-10 19:31:16,"{""short_code"":""Heawtx"",""original_url"":""https://seeded.app/urban/zenith/123""}"
124,124,46,created,2025-09-07 03:50:43,"{""short_code"":""b50vvk"",""original_url"":""https://acme.dev/urban/trail/124""}"
125,125,354,created,2025-05-31 02:46:04,"{""short_code"":""j9j7SL"",""original_url"":""https://relay.cloud/jade/signal/125""}"
126,126,331,created,2025-07-15 16:22:38,"{""short_code"":""sdqJqi"",""original_url"":""https://seeded.app/urban/zenith/126""}"
127,127,266,created,2025-02-21 05:19:58,"{""short_code"":""mSjLlT"",""original_url"":""https://opswise.net/calm/engine/127""}"
128,128,329,created,2025-05-25 05:50:51,"{""short_code"":""MYXlSh"",""original_url"":""https://relay.cloud/gold/canyon/128""}"
129,129,255,created,2025-01-26 19:05:14,"{""short_code"":""2Mpw4e"",""original_url"":""https://relay.cloud/ember/field/129""}"
130,130,190,created,2025-04-22 01:02:13,"{""short_code"":""xrguu3"",""original_url"":""https://opswise.net/ember/signal/130""}"
131,131,137,created,2025-09-05 14:03:17,"{""short_code"":""q9q3va"",""original_url"":""https://relay.cloud/mellow/window/131""}"
132,132,243,created,2026-01-19 22:53:41,"{""short_code"":""H8gjYN"",""original_url"":""https://acme.dev/dawn/trail/132""}"
133,133,247,created,2025-09-13 08:31:23,"{""short_code"":""cWW7RW"",""original_url"":""https://seeded.app/silver/signal/133""}"
134,134,184,created,2025-07-25 18:42:43,"{""short_code"":""BCXRFU"",""original_url"":""https://example.com/tidy/canyon/134""}"
135,135,293,created,2025-08-01 15:50:26,"{""short_code"":""VA618e"",""original_url"":""https://hackstack.io/gold/pioneer/135""}"
136,136,389,created,2025-06-16 02:46:05,"{""short_code"":""xNsvOi"",""original_url"":""https://relay.cloud/proud/yard/136""}"
137,137,254,created,2025-02-20 03:00:07,"{""short_code"":""IldRC0"",""original_url"":""https://acme.dev/navy/island/137""}"
138,138,211,created,2026-01-29 21:31:14,"{""short_code"":""qrshWg"",""original_url"":""https://opswise.net/forest/lagoon/138""}"
139,139,76,created,2025-07-22 02:36:16,"{""short_code"":""f6bEeP"",""original_url"":""https://opswise.net/vivid/kernel/139""}"
140,140,118,created,2025-02-24 20:03:17,"{""short_code"":""is9zDl"",""original_url"":""https://example.com/proud/valley/140""}"
141,141,281,created,2025-08-23 13:41:11,"{""short_code"":""FzbQWP"",""original_url"":""https://seeded.app/navy/window/141""}"
142,142,331,created,2025-04-30 18:55:07,"{""short_code"":""KliyKa"",""original_url"":""https://hackstack.io/young/canyon/142""}"
143,143,235,created,2025-07-08 20:49:56,"{""short_code"":""9RQi4w"",""original_url"":""https://seeded.app/rapid/zenith/143""}"
144,144,189,created,2025-11-27 12:50:02,"{""short_code"":""muxFCD"",""original_url"":""https://acme.dev/ember/window/144""}"
145,145,343,created,2025-10-02 07:13:58,"{""short_code"":""p2OSXa"",""original_url"":""https://relay.cloud/warm/window/145""}"
146,146,268,created,2025-09-11 12:51:10,"{""short_code"":""R8t0K4"",""original_url"":""https://hackstack.io/harbor/meadow/146""}"
147,147,97,created,2026-02-16 23:39:23,"{""short_code"":""f3w9Qu"",""original_url"":""https://seeded.app/harbor/zenith/147""}"
148,148,184,created,2025-07-17 13:22:37,"{""short_code"":""irZ9du"",""original_url"":""https://example.com/rapid/garden/148""}"
149,149,239,created,2025-10-21 11:14:46,"{""short_code"":""7JrMX2"",""original_url"":""https://hackstack.io/dawn/quartz/149""}"
150,150,90,created,2025-10-18 11:12:05,"{""short_code"":""Q0pMgm"",""original_url"":""https://example.com/jade/garden/150""}"
151,151,169,created,2025-02-13 19:30:16,"{""short_code"":""suClhZ"",""original_url"":""https://opswise.net/lively/zenith/151""}"
152,152,246,created,2025-04-09 09:13:08,"{""short_code"":""JsoK3C"",""original_url"":""https://example.com/ivory/garden/152""}"
153,153,39,created,2025-04-26 02:53:59,"{""short_code"":""jjsi3G"",""original_url"":""https://hackstack.io/opal/journey/153""}"
154,154,126,created,2025-07-01 08:42:07,"{""short_code"":""cp7J6r"",""original_url"":""https://opswise.net/vivid/river/154""}"
155,155,119,created,2025-02-14 00:06:22,"{""short_code"":""sPchFs"",""original_url"":""https://relay.cloud/ivory/canyon/155""}"
156,156,161,created,2025-06-09 15:13:23,"{""short_code"":""fTQx1m"",""original_url"":""https://acme.dev/harbor/uplink/156""}"
157,157,266,created,2025-09-12 23:18:47,"{""short_code"":""lKc0Hg"",""original_url"":""https://seeded.app/warm/anchor/157""}"
158,158,91,created,2025-03-06 19:55:17,"{""short_code"":""Vqf4AB"",""original_url"":""https://relay.cloud/warm/lagoon/158""}"
159,159,365,created,2026-01-06 18:14:05,"{""short_code"":""QqYVGq"",""original_url"":""https://relay.cloud/young/window/159""}"
160,160,237,created,2025-05-18 01:19:56,"{""short_code"":""fGRbWE"",""original_url"":""https://seeded.app/keen/garden/160""}"
161,161,197,created,2025-02-24 02:02:52,"{""short_code"":""8aOX2F"",""original_url"":""https://relay.cloud/amber/island/161""}"
162,162,275,created,2025-10-12 17:27:08,"{""short_code"":""1Gn2uH"",""original_url"":""https://opswise.net/rapid/network/162""}"
163,163,244,created,2025-12-02 07:56:15,"{""short_code"":""eQQZVl"",""original_url"":""https://seeded.app/dawn/journey/163""}"
164,164,174,created,2025-07-16 19:08:02,"{""short_code"":""7v1wkP"",""original_url"":""https://relay.cloud/urban/kernel/164""}"
165,165,51,created,2025-05-17 12:57:58,"{""short_code"":""qlg3qR"",""original_url"":""https://relay.cloud/harbor/island/165""}"
166,166,119,created,2025-03-27 10:35:39,"{""short_code"":""EHEkMF"",""original_url"":""https://example.com/vivid/meadow/166""}"
167,167,47,created,2025-02-20 06:36:09,"{""short_code"":""nv7iy5"",""original_url"":""https://example.com/ember/zenith/167""}"
168,168,97,created,2025-05-02 14:53:26,"{""short_code"":""FEKBNY"",""original_url"":""https://acme.dev/vivid/journey/168""}"
169,169,351,created,2025-10-30 01:34:17,"{""short_code"":""EqqZhj"",""original_url"":""https://hackstack.io/calm/signal/169""}"
170,170,322,created,2025-08-15 23:34:24,"{""short_code"":""vp6hXQ"",""original_url"":""https://seeded.app/vivid/trail/170""}"
171,171,333,created,2025-07-11 14:59:46,"{""short_code"":""l4jsDi"",""original_url"":""https://acme.dev/amber/quartz/171""}"
172,172,52,created,2025-05-02 21:56:05,"{""short_code"":""MU2OJu"",""original_url"":""https://opswise.net/keen/uplink/172""}"
173,173,35,created,2026-02-18 22:11:55,"{""short_code"":""5Ew4sq"",""original_url"":""https://acme.dev/lively/kernel/173""}"
174,174,247,created,2025-07-14 03:45:55,"{""short_code"":""vtAExw"",""original_url"":""https://acme.dev/keen/meadow/174""}"
175,175,319,created,2025-11-19 03:41:40,"{""short_code"":""sFCicz"",""original_url"":""https://example.com/navy/engine/175""}"
176,176,15,created,2025-10-29 07:47:56,"{""short_code"":""pTVxgZ"",""original_url"":""https://opswise.net/ember/engine/176""}"
177,177,124,created,2025-05-06 14:43:13,"{""short_code"":""Wz7PC2"",""original_url"":""https://hackstack.io/young/anchor/177""}"
178,178,315,created,2025-05-21 02:50:24,"{""short_code"":""TfXw5L"",""original_url"":""https://relay.cloud/ivory/meadow/178""}"
179,179,212,created,2025-03-05 09:57:31,"{""short_code"":""jwFc3h"",""original_url"":""https://acme.dev/lively/field/179""}"
180,180,226,created,2025-10-23 17:44:31,"{""short_code"":""47jPVf"",""original_url"":""https://example.com/amber/lagoon/180""}"
181,181,199,created,2025-11-27 03:53:47,"{""short_code"":""yPpUuG"",""original_url"":""https://acme.dev/keen/zenith/181""}"
182,182,184,created,2025-03-23 00:54:58,"{""short_code"":""MtszOP"",""original_url"":""https://seeded.app/jade/orbit/182""}"
183,183,212,created,2025-11-25 12:48:35,"{""short_code"":""ehzBTI"",""original_url"":""https://hackstack.io/dawn/meadow/183""}"
184,184,176,created,2025-11-30 03:35:47,"{""short_code"":""2p8cRT"",""original_url"":""https://opswise.net/quiet/anchor/184""}"
185,185,51,created,2025-07-08 02:47:09,"{""short_code"":""Gbalkc"",""original_url"":""https://acme.dev/proud/valley/185""}"
186,186,205,created,2025-12-19 15:25:04,"{""short_code"":""LekOUt"",""original_url"":""https://relay.cloud/clear/canyon/186""}"
187,187,396,created,2025-02-08 06:25:34,"{""short_code"":""Q7fOSo"",""original_url"":""https://example.com/ember/trail/187""}"
188,188,72,created,2025-01-09 22:25:19,"{""short_code"":""UaTmdT"",""original_url"":""https://relay.cloud/gold/network/188""}"
189,189,62,created,2025-12-01 11:29:45,"{""short_code"":""fsbpFI"",""original_url"":""https://hackstack.io/keen/garden/189""}"
190,190,290,created,2026-02-16 20:05:07,"{""short_code"":""pD1VB1"",""original_url"":""https://example.com/forest/harvest/190""}"
191,191,86,created,2025-10-17 01:26:53,"{""short_code"":""habmiP"",""original_url"":""https://hackstack.io/forest/river/191""}"
192,192,13,created,2026-01-10 11:04:03,"{""short_code"":""auauWg"",""original_url"":""https://opswise.net/jade/trail/192""}"
193,193,99,created,2025-03-01 20:03:07,"{""short_code"":""9iiy02"",""original_url"":""https://seeded.app/navy/garden/193""}"
194,194,189,created,2025-10-03 12:49:04,"{""short_code"":""HQk6N6"",""original_url"":""https://example.com/mellow/engine/194""}"
195,195,87,created,2025-11-28 02:12:30,"{""short_code"":""j1a4Ox"",""original_url"":""https://example.com/proud/beacon/195""}"
196,196,295,created,2025-05-03 16:08:09,"{""short_code"":""bPIftI"",""original_url"":""https://opswise.net/tidy/signal/196""}"
197,197,339,created,2026-02-03 11:43:57,"{""short_code"":""YxPhKA"",""original_url"":""https://example.com/lively/window/197""}"
198,198,60,created,2025-05-01 02:23:03,"{""short_code"":""L2Phgo"",""original_url"":""https://seeded.app/silver/window/198""}"
199,199,399,created,2025-03-24 01:35:16,"{""short_code"":""0UVLNH"",""original_url"":""https://acme.dev/forest/zenith/199""}"
200,200,239,created,2025-12-19 05:49:33,"{""short_code"":""760ysI"",""original_url"":""https://example.com/quiet/canyon/200""}"
201,201,196,created,2025-06-23 15:58:19,"{""short_code"":""p5mtMz"",""original_url"":""https://hackstack.io/amber/delta/201""}"
202,202,335,created,2025-12-22 13:06:07,"{""short_code"":""hG06KD"",""original_url"":""https://hackstack.io/cobalt/engine/202""}"
203,203,245,created,2025-10-08 00:14:34,"{""short_code"":""hsHXaZ"",""original_url"":""https://example.com/clear/pioneer/203""}"
204,204,118,created,2025-11-20 05:15:40,"{""short_code"":""faYMdY"",""original_url"":""https://example.com/warm/lagoon/204""}"
205,205,186,created,2025-10-30 15:51:08,"{""short_code"":""Dih1gA"",""original_url"":""https://relay.cloud/young/field/205""}"
206,206,302,created,2025-08-12 17:27:32,"{""short_code"":""FiFhTZ"",""original_url"":""https://seeded.app/opal/canyon/206""}"
207,207,155,created,2025-09-04 09:05:09,"{""short_code"":""1ZjdHF"",""original_url"":""https://opswise.net/young/quartz/207""}"
208,208,16,created,2026-01-18 22:39:12,"{""short_code"":""1HW9qZ"",""original_url"":""https://hackstack.io/gold/window/208""}"
209,209,9,created,2025-04-13 13:58:48,"{""short_code"":""IZzVph"",""original_url"":""https://example.com/proud/zenith/209""}"
210,210,296,created,2025-03-11 05:31:40,"{""short_code"":""CEpyiQ"",""original_url"":""https://relay.cloud/amber/signal/210""}"
211,211,342,created,2025-07-13 02:35:26,"{""short_code"":""Hmk5Uz"",""original_url"":""https://seeded.app/warm/river/211""}"
212,212,181,created,2025-09-23 03:55:08,"{""short_code"":""yBFYaC"",""original_url"":""https://example.com/quiet/signal/212""}"
213,213,127,created,2025-04-26 19:55:59,"{""short_code"":""iKwR1a"",""original_url"":""https://hackstack.io/harbor/beacon/213""}"
214,214,337,created,2025-01-02 20:01:52,"{""short_code"":""C2wzne"",""original_url"":""https://example.com/navy/beacon/214""}"
215,215,224,created,2025-12-01 02:53:55,"{""short_code"":""0dh8sW"",""original_url"":""https://seeded.app/navy/uplink/215""}"
